task_id,claude-haiku-4-5_runv1,claude-opus-4-8_runv1,kimi-k2.5_runv1,claude-haiku-4-5_pass_count,claude-opus-4-8_pass_count,kimi-k2.5_pass_count
instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,pass,fail,pass,1,0,1
instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,pass,pass,pass,1,1,1
instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59,pass,pass,pass,1,1,1
instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan,pass,pass,pass,1,1,1
instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06,pass,pass,pass,1,1,1
instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f,pass,pass,pass,1,1,1
instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07,pass,fail,pass,1,0,1
instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,pass,pass,pass,1,1,1
instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,fail,pass,pass,0,1,1
instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb,pass,fail,pass,1,0,1
instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371,fail,fail,pass,0,0,1
instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8,fail,pass,pass,0,1,1
instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,fail,pass,pass,0,1,1
instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,fail,pass,pass,0,1,1
instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,fail,pass,pass,0,1,1
